restaurant_id,name,category,city
b01e117c-57eb-4c9d-93a5-2711e692a7e2,Restaurant_b01e117c,Mexican,New York
95431f4e-0e5d-4434-b37a-992b75e7e72e,Restaurant_95431f4e,Cafe,Houston
7ea33191-eeac-48d9-8c64-dd5dcdacd356,Restaurant_7ea33191,Fine Dining,Chicago
ab299fe4-4a53-462f-8e60-4c0d9e28f762,Restaurant_ab299fe4,Mexican,Los Angeles
681a1225-98f5-4698-ab47-64777875d02f,Restaurant_681a1225,Bar,New York
70685643-23db-4d3e-b2e4-033286760499,Restaurant_70685643,Italian,Los Angeles
1d9a8bd7-45b1-4c4a-8089-07b7f56a8d5f,Restaurant_1d9a8bd7,Fine Dining,Houston
9f80e0ee-7c91-4f0e-83c0-58d1096a50fb,Restaurant_9f80e0ee,Italian,
fe46f418-0c22-4a87-9973-a170b4c27a56,Restaurant_fe46f418,Bar,Houston
b4686452-9b15-408b-bf65-64c401b2f44d,Restaurant_b4686452,Dessert,
cffe721e-fb25-4ce7-86a9-f95e174ba3ee,Restaurant_cffe721e,Italian,Chicago
2bb50770-c49e-4022-b0b9-2d4e8b6c35c6,Restaurant_2bb50770,Bar,Philadelphia
d7d31160-5a64-4694-bb54-4a9400560041,Restaurant_d7d31160,Cafe,Chicago
5d6c42b7-89cb-45fb-b54f-60a066aa3adc,Restaurant_5d6c42b7,Fine Dining,Philadelphia
cb80ebb1-628a-4c7c-a760-6d387ae274a6,Restaurant_cb80ebb1,Mexican,Los Angeles
e8e0353a-e031-471c-893c-90d4be82709d,Restaurant_e8e0353a,Bar,Los Angeles
bc3f3a88-342f-4323-b91d-8538f2b2e1ec,Restaurant_bc3f3a88,Asian,Philadelphia
59c78c1e-3e39-4add-a2ef-076fdb4dd638,Restaurant_59c78c1e,Cafe,New York
a3c1cea2-dfd3-4a07-8c9c-1eb27e1eab75,Restaurant_a3c1cea2,Dessert,Los Angeles
245512bd-7df6-4206-b196-d07bf49255c8,Restaurant_245512bd,Bar,Los Angeles
7b36f9e8-6a95-4d54-a348-5f72fd2c09cc,Restaurant_7b36f9e8,Cafe,Philadelphia
4685f17e-f5f5-4087-b8f2-eaaa8e6e00da,Restaurant_4685f17e,Fine Dining,Los Angeles
aa21a746-85f3-41f4-bb28-6c02ab79ad3e,Restaurant_aa21a746,Italian,Houston
67ece72b-745d-4f2b-b00a-7831034b8b5d,Restaurant_67ece72b,Cafe,Los Angeles
29aa9ad8-f45d-4f25-af3d-20f71344df24,Restaurant_29aa9ad8,Fine Dining,Los Angeles
04a21fb7-a460-43e5-ba45-6f5978c02b33,Restaurant_04a21fb7,Bar,Phoenix
865ea817-592d-43a9-b483-68d60370e17d,Restaurant_865ea817,Dessert,Philadelphia
3817b5ae-90e7-415f-874f-b9eed61c20d2,Restaurant_3817b5ae,Fast Food,Philadelphia
43aad390-908a-47cf-bad7-3005eb37026c,Restaurant_43aad390,Asian,Houston
68bd97e0-229c-457c-aebb-ab89392189be,Restaurant_68bd97e0,Cafe,Los Angeles
1eea36e3-f6bc-4ae8-aa52-c55c2bb01eca,Restaurant_1eea36e3,Fast Food,Houston
93bf6b75-3cc8-4d19-a786-d94a9e641fd5,Restaurant_93bf6b75,Fast Food,San Diego
679ff6e4-1934-4f05-b869-6545b52e0b55,Restaurant_679ff6e4,Bar,Phoenix
7d260fca-6eb8-4eba-85a4-52aa9c447d6c,Restaurant_7d260fca,Fine Dining,Philadelphia
0fe688f0-e410-473c-8eb2-e45265e2947a,Restaurant_0fe688f0,Italian,Houston
6df59d0a-502e-46f7-978e-e0aca0960226,Restaurant_6df59d0a,Italian,Philadelphia
8d0c46c0-e791-4b53-a9db-6515b999ed40,Restaurant_8d0c46c0,Bar,Phoenix
f74847d0-ea2c-483e-919c-6ea575541f3e,Restaurant_f74847d0,Mexican,Houston
d842643f-9173-4cf2-b3ff-84f07224dc53,Restaurant_d842643f,Asian,Houston
c43d6096-3287-4bbb-ac9a-4ff50b44cb6b,Restaurant_c43d6096,Dessert,San Antonio
737a933e-7f67-4c7d-88af-205b2f3664b7,Restaurant_737a933e,Dessert,Chicago
a12881a9-67c9-437e-ba8f-8b9cf8c9ac73,Restaurant_a12881a9,Cafe,Chicago
4420e7c1-0577-41ed-8f45-322c0a44f8b6,Restaurant_4420e7c1,Fine Dining,Phoenix
9863f836-9f4a-4d8f-9269-5dac496d4a5e,Restaurant_9863f836,Bar,San Antonio
b8b75403-3d46-4085-b26d-0a09dc6d36ec,Restaurant_b8b75403,Asian,Houston
65adf49e-1796-42a0-9edf-32cee7c602b8,Restaurant_65adf49e,Fast Food,San Diego
07ff5ae8-8872-4b27-988c-3f95f1f94405,Restaurant_07ff5ae8,Mexican,New York
